id,atividade,carga_maxima
1,"Participação no CACIC: coordenador (a) geral; membro de comissão de assuntos acadêmicos; membro de comissão de eventos; secretário (a); tesoureiro (a)",Máximo de 50 horas
2,"Manutenção não remunerada dos laboratórios da computação",Máximo de 50 horas
3,"Participação em eventos científicos relacionados à computação",Máximo de 80h desde que não seja inferior a 1 dia
4,"Orientando em projeto de Iniciação Científica",Máximo de 60h/projeto
5,"Atividades especiais apreciadas e aprovadas pelo COLCIC. Inclui, não exclusivamente, cursos de curta duração, presencial ou on-line, com no mínimo 12h desde que comprovado com certificado que possa ter a sua autenticidade verificada;",Máximo de 50h/ano/atividade
6,"Monitoria na UESC",Máximo de 50h
7,"Atividades de Estágio não curricular.",Máximo de 80 horas.
